# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:50:14Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

=== W2-02 TX: 192 fragments, uart=/dev/ttymxc3 ===
__W2_02_TX_FRAG__ idx=9 tx_id=0x09 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0009bf47b8d4a0c3f140b12503f183c7aad569c4ac6aeda6412e7623e145e3e152d9d9ef338e5db6dedec97139df8000008f52494646880000005745425056
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=10 tx_id=0x0A status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe000abf5038207c0000003005009d012a200020003eb54ca04aa724a321b00c00e016896500c8d41b8b277376286665d8b2abee10064be75f0ddeab1000fe87
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=11 tx_id=0x0B status=0(OK) toa_us=59008 elapsed_ms=73.8 payload_hex=fe000bbf741480e3cbc7ac5470e03985bb2d090ea71350edc5bb6a70caef05aeb36afbce7fcf680faed4784d51ca2a885fe44081bbd3a7c4e3056765db1d4f46
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=12 tx_id=0x0C status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe000cbf6d7cc5f42105f1f70000005d524946465600000057454250565038204a0000001004009d012a200020003ec150a34c27a4232230180800f018096700
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=13 tx_id=0x0D status=0(OK) toa_us=59008 elapsed_ms=73.2 payload_hex=fe000dbfc0dc0cf9985ed16b4fcf60320000fef612f9ac494c1dc2ba85c20f89297a26f34fcb04e8e03ab547b56baaa5d4008b52494646840000005745425056
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=14 tx_id=0x0E status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe000ebf50382078000000b004009d012a200020003ec14ea04aa7a42321b0180c00f0180940002cd33263abe2a38753aca67afffe624ac00000fef100776b81
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=15 tx_id=0x0F status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe000fbf4ce2906389b9ffd6be6cdd9edcd08c1b8d673d0c6856ec6c4925cf118091f819bd1addcc494e60f61505f3985134c82bf20b37e7e67f06a39c1e62fe
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=16 tx_id=0x10 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0010bfbe5cb66200000071524946466a00000057454250565038205e000000d003009d012a200020003ec154a34c27a4a32230180800f018096300cb2c3cda
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=17 tx_id=0x11 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0011bf21f5592fe5d50000fee716ddb2788d141dbc67df7d5a4d22f022fcd523ec03a6f831a93e61eb0442fdaa3cba5c01161189dd7d2357ba4dbc72415d43
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=18 tx_id=0x12 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0012bf80004952494646420000005745425056503820360000001003009d012a200020003ec15ca74ea7a523a2280800f018096700cba41989dda000fee978
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=19 tx_id=0x13 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0013bfdfe1db277a5ba4257900878227394000004d524946464600000057454250565038203a0000001003009d012a200020003ec156a54d27a4aba2280aa9
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=20 tx_id=0x14 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0014bf7018096700bb001827792800feea882fbf129b72f5d13accac355041de7c82c1f9d7000075524946466e000000574542505650382062000000d00400
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=21 tx_id=0x15 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0015bf9d012a200020003ec14ea04aa7a42321b00800f018096700c6401b6c82be2e77af97077197105a1645098ee000f9e7e4829fbd58c17b8e156df17ef1
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=22 tx_id=0x16 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0016bf212c0a8fc4bff898e67c48445bddbc6c562700fe3b751ea939711533a62d0f906d000091524946468a00000057454250565038207e000000b004009d
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=23 tx_id=0x17 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0017bf012a200020003ec156a04ca7a4a322280d50f01809655ff65640b845dde5a24a4d0f271521fb64a9f60000feeefa17968404f726d052afcafef83dfc
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=24 tx_id=0x18 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0018bff96e946c369bcddb9bd2fe826bc161481cf285146f74466e1585c5ab252fe7cf375b83b585fbb2ffec8f23c4b31c1cb82cc01215ed4f5d3b931d8d65
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=25 tx_id=0x19 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0019bf000053524946464c000000574542505650382040000000d003009d012a200020003ec1529d4aa7a4a2a1b0180c00f018096900ca003cb02da98c6340
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=26 tx_id=0x1A status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe001abf878000fef14771f1162f426826970e95c54155e4e323b4e40000006f524946466800000057454250565038205c0000007004009d012a200020003ec1
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=27 tx_id=0x1B status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe001bbf50a44aa7a4a3a1b00800f018096500bfec6335889c899c49ee80d5babf9de40000fefd05b9cc5dad4a0921a389eb2218393353b4f436b04ab5496574
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=28 tx_id=0x1C status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe001cbf4951caecb04090af4aba40b3b6ab03ef4cde30006b52494646640000005745425056503820580000001004009d012a200020003ebd4a9f4aa72422a1
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=29 tx_id=0x1D status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe001dbfb7f55800e017896700c6405582b7701c3442a457984000fef37900820a060aa3cb1fc9172b9a3d0f022128cbaf2e5e29732041ee537d4bc01e34896b
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=30 tx_id=0x1E status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe001ebf346ee310cbac78000093524946468c0000005745425056503820800000005005009d012a200020003eb5469e4aa723a321b7faa800e016896700c0dc
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=31 tx_id=0x1F status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe001fbf1bb5659a0718a0ab12eb5fc7b713198d26b7068c0000fef0de8d8af6f7242930407545e1c3f2ed528d7933537159c69f1724428654f509614fe4ab83
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=32 tx_id=0x20 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0020bf84ce9ffcd92c89d89920662e48fdaa8859d7223cf2ce55304dc3849af7a10a0d4dd3be70000085524946467e000000574542505650382072000000f0
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=33 tx_id=0x21 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0021bf04009d012a200020003eb1489c4aa724a2a1b7faa800e016096700cba421be1c0c416ca546845ac8ac42e4630d6d0000fedbce0e1ec0607faf70e09b
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=34 tx_id=0x22 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0022bf2aa4b8072efefa7d8f5cd9ae2185ddbae22df8882bd13203b7d712375b9e9b0be12811bbd3c8dacda7cb0b41b7b05672d16800000063524946465c00
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=35 tx_id=0x23 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0023bf00005745425056503820500000001004009d012a200020003ebd4c9f4aa72422a1b7f55800e017896700c4d85582be49c61e6199dd15c000feef5b5e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=36 tx_id=0x24 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0024bff2b8aee8750d83947f6ea63ce5cf0e1d66a286d1da745f766077db244d2be9d28000875249464680000000574542505650382074000000f004009d01
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=37 tx_id=0x25 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0025bf2a200020003ec148a34aa7a3a321b0180c00f018096500c190315aaddf83915edd498121b31138e8a1d60000fed03bc4ec17b3b1b35efb5fdf62e578
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=38 tx_id=0x26 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0026bf97a6e3562ec58b8a4098e814c4b2bad17c0981807ac05b78a649824e2611590010cadb7cb1336fed70b31472d8d741e7e1c00065524946465e000000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=39 tx_id=0x27 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0027bf574542505650382052000000f003009d012a200020003ec154a64ca7a4a3a2a80aa8f018096500c2800dfae3e5c5936f22dfbc0000fef6117f4d642b
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=40 tx_id=0x28 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0028bfc56b9a545a7d48310034bba5d5a6377e771a00a79f295619281df1fb90de0000000061524946465a00000057454250565038204e000000d003009d01
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=41 tx_id=0x29 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0029bf2a200020003eb14c9c4aa724a2a1b7faa800e016096500bb002de02baa57d65c068000feed037d157f7ea017180b8cc75b763a1c6e0c464884e0dc06
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=42 tx_id=0x2A status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe002abf707391f99d6a75c09b8bb800004952494646420000005745425056503820360000001003009d012a200020003ec15aa64ea7a523a2280800f0180967
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=43 tx_id=0x2B status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe002bbf00c1cc1989e70000feec214d09bb097d8759ad6a383f0df8dd50000053524946464c0000005745425056503820400000005003009d012a200020003e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=44 tx_id=0x2C status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe002cbfc14ea04aa7a42321b00800f018096700c0dc317b6ce1064000feebf5f07969fc88580efb469dbe368311181737002646c36f38900059524946465200
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=45 tx_id=0x2D status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe002dbf00005745425056503820460000009003009d012a200020003ec15aa64e27a523a2280800f018096700c0dc0df2b8cf788f374000fe8cf66f699faf40
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=46 tx_id=0x2E status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe002ebf8934d486a41bd2a961a6b06409875ec9a064d09ad4fb8400795249464672000000574542505650382066000000d004009d012a200020003ec150a24a
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=47 tx_id=0x2F status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe002fbfa7a4a321b0180c00f0180967000151759dbfe886808a3bc719a24b6c60c9554000fefd517ce5a53569dcffac7302b6cb12e33b49d9a6004c7494eb0f
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=48 tx_id=0x30 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0030bfeebb51bad2001c066f5c52aff271825c5f5c98feb280e6000000004b52494646440000005745425056503820380000009003009d012a200020003ec1
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=49 tx_id=0x31 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0031bf5aa74e27a523a2280800f018096900c5c80f6b930f8e8a780000fe9efd7986021b95c82ba8639e19a974c800a752494646a000000057454250565038
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=50 tx_id=0x32 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0032bf20940000005005009d012a200020003ec14c9f4aa7a422a1b00800f018096300b7b8695fc21eb4a51574e1f43882b438f91ee7a4f722130000fefd52
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=51 tx_id=0x33 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0033bfe68996b818df6dad562a5d7877ae910b970a5ef5b2c400ddd92e1255ac96e6a7ab6c3ba993dd0a0dbf458ceb53c51a524ca3aecd0213600a372f7df5
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=52 tx_id=0x34 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0034bf14fe0da17b7b2dab9c820b9e37be13d24269eea3bcc3bf531dec987e38ee710000a5524946469e0000005745425056503820920000005005009d012a
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=53 tx_id=0x35 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0035bf200020003ec15aa64ea7a523a2280800f018096500b83057367442c00a9b932bb1c0ee04af3358dd63a7d09ca000fefc3e26335ce8d874d6ef1ebd3f
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=54 tx_id=0x36 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0036bf454988db8d7ed9080cefc018cbb79da8dbb1d72d3f3dbdc02bc142835c5d84021a8b037fe2a27c6e114ecc41d3de52f9a4d09adeb3f55539f36b911f
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=55 tx_id=0x37 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0037bf333520c7309ec258ec1bfcd993c9dfc6a39d90004952494646420000005745425056503820360000007003009d012a200020003ec15aa64ea7a523a3
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=56 tx_id=0x38 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0038bf280800f018096700cdfc0f6a8ff3a6830000fec0cd95f5bac19d6be338fc972bc000009952494646920000005745425056503820860000005005009d
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=57 tx_id=0x39 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0039bf012a200020003ec14ca04b27a42321b0180c00f018096500bb007b6fc7bb1c37118edeb68b0d3749de7fffa690e60000fef772c33a4e22b03f61dd4f
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=58 tx_id=0x3A status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe003abffdffb055afe59163d0768c5096f6d6bb2f192bece84c8965eb24760b971f5b988b9876d8ba3997381841e578d9275a70adf07a11d826b679da496a79
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=59 tx_id=0x3B status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe003bbf2580719b6d05d0340000795249464672000000574542505650382066000000f004009d012a200020003ea9449a4aa62422a1b7e800c015096700c4d8
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=60 tx_id=0x3C status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe003cbf2b7b2dda821d067ff8af8e27d7333f2df6380000fe726778c23d246f990c55de56c90778e2cda87cc2d41373b01bc5b519078e6a33a7dd3a805cb5c8
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=61 tx_id=0x3D status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe003dbf40886229bcc7ba9d22cc2a98007952494646720000005745425056503820660000003004009d012a200020003ec150a14aa7a4a321b0180c00f01809
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=62 tx_id=0x3E status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe003ebf6500ac005c445c90470e2bc5d3018f8000feefc0d63afd8f6e2795f3793fe1f70c08d57baf34073c38d0013d755b3b81db239f0c3db8f5de7f438e4e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=63 tx_id=0x3F status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe003fbf9ee0a815868169f4e981762e1b3800007f524946467800000057454250565038206c0000009004009d012a200020003ec152a04aa7a4a321b00800f0
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=64 tx_id=0x40 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0040bf18096500011f092eefc561f08046c72f60afe338da8000fefdd8a054fd17aeb5caeea3742e03635089401b1508ba0f20ce0c1285be187ae2b16af4e3
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=65 tx_id=0x41 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0041bf481f92f3d816ee3dd66910cdcba2234ebcd743b524081140004952494646420000005745425056503820360000001003009d012a200020003ec15aa7
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=66 tx_id=0x42 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0042bf4ea7a523a2280800f018096500cba4198ba0c000feed5b8d8a2d78a65f1eb3d347ac42a2c0e820004952494646420000005745425056503820360000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=67 tx_id=0x43 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0043bf001003009d012a200020003ec15aa74ea7a523a2280800f018096700c3701770150000feee490363ec9de79a576d2f365baa48300000005d52494646
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=68 tx_id=0x44 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0044bf5600000057454250565038204a000000d003009d012a200020003eb14a9c4aa724a2a1b7faa800e0160967000102990574c415c4c7ff6800fef3df40
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=69 tx_id=0x45 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0045bfa3335a0993a622176daf407282df71c68617d7c0164e971c7d97bc0000005f524946465800000057454250565038204c0000007004009d012a200020
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=70 tx_id=0x46 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0046bf003ea9449b4aa62422a1b7e800c015096700cbe02d6db449bfe191951e4b6bd8d7d30000fec045308a744e233abf1f0d29855f38f2193dbdf8a5e799
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=71 tx_id=0x47 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0047bf4f82d475b0340075524946466e0000005745425056503820620000005004009d012a200020003ebd4a9f4aa72422a1b7f55800e017896500c4d85582
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=72 tx_id=0x48 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0048bfbbcb59c51a672c152a160000fef42746c9894bc1eaa797b59e9227ec0d0de7b1ea0f0e1a884852097902be3dd5f92b5dd083a12d401286832d82c504
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=73 tx_id=0x49 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0049bf53ce0d4000007d524946467600000057454250565038206a0000007004009d012a200020003ec150a04aa7a4a321b00800f018096500c4d81e501993
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=74 tx_id=0x4A status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe004abffb984018cb87b7c0953f2000fe0b7f3ba4157e59aefe0b7d5685691082414eb5f8a393102e55cc27110a0a05713ff0a4624cd998e2cc81f9cd6b6911
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=75 tx_id=0x4B status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe004bbf969ff13c3e8ae6ee66b4900000695249464662000000574542505650382056000000f003009d012a200020003eb94c9e4aa724a2a1b00c00e0170967
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=76 tx_id=0x4C status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe004cbf00005a3941f23f5443081cb15a0000fef37fc7d06ac8d1bc271dddddaefd08d732d9a01997018035cb594025e4f6fead22d17b3d68996fd92c000000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=77 tx_id=0x4D status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe004dbf7d524946467600000057454250565038206a0000005004009d012a200020003eb1469d4aa723a321b7faa800e016096700c2805b5eb3fbc97dd2756b
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=78 tx_id=0x4E status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe004ebf01c1083400fef0b5e31026e9d631f9321e90dd56aa8996d99231ef9835e827c2e7ac87cd6f4819fa4257718eae1ed81306ff6f81b8f131f973747292
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=79 tx_id=0x4F status=0(OK) toa_us=59008 elapsed_ms=73.2 payload_hex=fe004fbf2edce31d20000085524946467e000000574542505650382072000000b004009d012a200020003ec150a34c27a4a32230180800f0180967000115b3f3
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=80 tx_id=0x50 status=0(OK) toa_us=59008 elapsed_ms=73.7 payload_hex=fe0050bf1c097b0e3b443719fe9d2130880000fefdd619d9a1cda32f1b0208fe475d80c0400173f4983a63bef21449d38d1e88ff4adf2b7de4889a456297f837
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=81 tx_id=0x51 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0051bf0bc02f39b60a707b16ae1200effcb6fb2a88c64000005752494646500000005745425056503820440000007003009d012a200020003ec14ea04aa7a4
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=82 tx_id=0x52 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0052bf2321b00800f018096700b8a81e96864f87fc2800fe43440804b18d02dd11a61b36b566dee312ef2be3ed4d6eb113790f000000975249464690000000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=83 tx_id=0x53 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0053bf5745425056503820840000003005009d012a200020003ec152a14ba7a4a321b0180800f018096700c4d86965b5b0a8484304f5df02c1add1b1e54697
INFO: unrelated frame during TX wait type=0xC0
