# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:50:15Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

=== W2-02 TX: 191 fragments, uart=/dev/ttymxc3 ===
__W2_02_TX_FRAG__ idx=18 tx_id=0x12 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0012be0000005745425056503820340000001003009d012a200020003ec15aa64e27a523a2280800f018096700c4d819c9c2c000fee84bfaf56a079d61e557
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=19 tx_id=0x13 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0013be3d932176e000004b5249464644000000574542505650382038000000f002009d012a200020003ec156a64ca7a4ac22280aa980180967000044c66b5c
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=20 tx_id=0x14 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0014be00fee9924db5f3b1e955627e663e28ea4b28e7bc3800000073524946466c0000005745425056503820600000009004009d012a200020003ec14ea04a
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=21 tx_id=0x15 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0015bea7a42321b00800f0180967000049f23cc3753af53c08a1933e8d08f97e0000f9ea0cbcd5faad91549b95a279981dff61597dec989528c733d81c0120
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=22 tx_id=0x16 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0016be7e3e5cf81e676a1518cbce94e017b76cfd9210000091524946468a00000057454250565038207e000000d004009d012a200020003ec158a14da7a522
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=23 tx_id=0x17 status=0(OK) toa_us=59008 elapsed_ms=74.0 payload_hex=fe0017bea2280aa8f018096300b7b86970cda922c8c6244606951b334046a62c0000fede9b27100a3ee5fb5fa04aac23bd70d80abbba824ce204ad185d1f587d
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=24 tx_id=0x18 status=0(OK) toa_us=59008 elapsed_ms=73.6 payload_hex=fe0018be4955418ef9ede389c8b1ad53192f9bd8f54ab4c31de35f20b2fda7ed2f76afbb46c6ceb582539e3304716122700e200053524946464c000000574542
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=25 tx_id=0x19 status=0(OK) toa_us=59008 elapsed_ms=73.6 payload_hex=fe0019be505650382040000000d003009d012a200020003ec1509e4aa7a4a2a1b0180c00f01809670000a609808149903ba1f00000fef10a7352aea97ef25abf
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=26 tx_id=0x1A status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe001abe8b513f93177b0ff8061f8000006752494646600000005745425056503820540000009004009d012a200020003ebd4ea04aa724a321b00c00e0178965
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=27 tx_id=0x1B status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe001bbe00bb0054dac44b1ce873c1a1fc6f34bd31200000fef918644f6491b666852a801541dd8149e21a4dac9d0cd5cc2677af34fcf033499039d380006b52
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=28 tx_id=0x1C status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe001cbe494646640000005745425056503820580000001004009d012a200020003ebd4a9f4aa72422a1b7f55800e017896700c67c5582b77008980b2a5ea700
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=29 tx_id=0x1D status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe001dbe00fef33c7c15b3de03c061763b9b90e16f2b6a13dc034cf159bc780921412ba4a0262b2376f80d8be812d9f675180097524946469000000057454250
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=30 tx_id=0x1E status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe001ebe5650382084000000d004009d012a200020003ead4c9b4aa624a2a1b7faa800c015896700004ab8a5833d6f11668b4741cf62c17d2b1c1800fef0de8d
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=31 tx_id=0x1F status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe001fbe8af6f72429304076f4d30ec86be65c6c5fbc0a827c4a1d861646ea7278425d50eac3593a4becf426b9ac1f0067ff17b9670aeb77ec2ebe1ce80116a8
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=32 tx_id=0x20 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0020be4fc6db2a4b2c2d2f016fa49785ec66eaec3800007f524946467800000057454250565038206c000000f004009d012a200020003eb14a9c4aa724a2a1
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=33 tx_id=0x21 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0021beb7faa800e016096700cb6823fad6631f87e70e68fb5f89ed7e24ad624000fedbce18d3a756584bde02188c1f27ea6c84c9340e688e180c94d7dbe6d7
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=34 tx_id=0x22 status=0(OK) toa_us=59008 elapsed_ms=74.6 payload_hex=fe0022be6676922e49fae00d75436c45ed0ec01fa22f9183fff678368f4d9d74006752494646600000005745425056503820540000001004009d012a20002000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=35 tx_id=0x23 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0023be3eb94c9e4aa72422a1b7f55800e017096700bfec5582be4322062aa9f3e48000feeedf3dcd026ccf4f43b5fa955f3099130c323d0e9eeb5000cfb2ab
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=36 tx_id=0x24 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0024bef37e9611c29b0e315dc38b1cc0007d524946467600000057454250565038206a000000b004009d012a200020003ec150a34b27a4a321a80d50f01809
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=37 tx_id=0x25 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0025be6700cbe03fb55bbf070ebf9cdc649e02aa086f956000fed03bcdecaac56a067f21d1bf8c88dd6d5b27d6404d924bd1b52036a59ba130986b03bb54a2
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=38 tx_id=0x26 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0026be5423f3840d0004dd89e234b1a4f99dac405300000061524946465a00000057454250565038204e000000f003009d012a200020003ec154a64d27a4a3
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=39 tx_id=0x27 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0027bea2a80aa8f018096500c7e40dfae3e5b51699fe11cb8800fef6117f4d642bc56b917b6680895501ff7d8538f6fece4525b8ed5bb1dd561ded0c000000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=40 tx_id=0x28 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0028be65524946465e0000005745425056503820520000001004009d012a200020003eb14c9c4aa724a2a1b7faa800e016096500bd5832d041c39c51ceb253
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=41 tx_id=0x29 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0029bec80000feec1e8cbb1ee063e753d5faf8455297d1fa6ca8a4dcaa1d71917610155dd9d4e8e962caaa5400004752494646400000005745425056503820
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=42 tx_id=0x2A status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe002abe340000001003009d012a200020003ec15aa74ea7a523a2280800f018096700c73019c9cd6000feeb97200d93b5c8f6df419a0af16e6e00004f524946
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=43 tx_id=0x2B status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe002bbe464800000057454250565038203c0000005003009d012a200020003ec14ea04aa7a42327300800f018096700cba4317b70fba4c000feeb53dfe823df
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=44 tx_id=0x2C status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe002cbe3164fad298f42004bdc6fd503e4ed800005752494646500000005745425056503820440000007003009d012a200020003ec15aa64ea7a523a2280800
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=45 tx_id=0x2D status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe002dbef018096700c6f40df2b8d8495dc000fe8d21d980fbe1b11bc0faf3d9654a71b8f19f98af49ab9c0b5758760000007f52494646780000005745425056
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=46 tx_id=0x2E status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe002ebe5038206c000000f004009d012a200020003ec150a04aa7a4a321b0180c00f018096700c8d47b6fdb7b048500eb0f306bd2c8923d69908000fefd5230
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=47 tx_id=0x2F status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe002fbe5c27e5a3560a507d6934de742074228cc636d75daf7d1e466f09a0bdf1a3ed4b981424789ad4d33ac18b84b024566cb8f17d4d242000004f52494646
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=48 tx_id=0x30 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0030be4800000057454250565038203c0000009003009d012a200020003ec15aa74e27a523a2280800f018096900c2800f83f934b968620000fe71bbd5e5df
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=49 tx_id=0x31 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0031be60b838c8cea7cba96cecc54dc0000000a3524946469c0000005745425056503820900000001005009d012a200020003ec1509f4aa7a4a2a1b00800f0
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=50 tx_id=0x32 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0032be18096300a8f4695ed6dacf1087572932c9370909a3e959b65b3000fefd5470bbc70f695c73ed05866e6bc69d075d71710f0f9505d6dcea45f6831daf
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=51 tx_id=0x33 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0033bec0cd488665b06dfa2c675a9e29e89947329074052365a4f053c0d2d394e729f3393b689425cf53d70b5c6df6dd7e0e4f5b7141872687d5340b8a9d40
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=52 tx_id=0x34 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0034be00a5524946469e0000005745425056503820920000003005009d012a200020003ec15aa74e27a523a2280800f018096500bb0056b0725cd05cbd97e7
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=53 tx_id=0x35 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0035be6602c78f6d87990623b420e000fefc3e2607dd8a3bc0f26ccca10b3b2971806131d2577d1c9a63f3a7840194b6d78e097f6b8bd104dda520552af024
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=54 tx_id=0x36 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0036bec7d7fe9c810231f12e91bf066bfc4bf349a135bd67eb120727026376ecdca4c13ceac8fbad0d0c285ed1549a08300000475249464640000000574542
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=55 tx_id=0x37 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0037be5056503820340000005003009d012a200020003ec15aa74ea7a523a2280800f018096700cab40f6a875547c000fec0cd95c2da13907b3891777e1200
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=56 tx_id=0x38 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0038be0095524946468e000000574542505650382082000000d004009d012a200020003ec152a24b27a4a321a80d50f018096500c8d47b6feb8f80ab19a8ff
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=57 tx_id=0x39 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0039be413a4d8c794b6295c000fef776a07e55ef06cbdc6aa69ee274342fe7cbf3dd928fcbac51d3b17af62256eedce298fa9c56011204fcf35347aa010c65
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=58 tx_id=0x3A status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe003abeb9dd70dce1018fab878d961f9cadc1fa4212a99c0bbe8d6662e2be4bb8000000795249464672000000574542505650382066000000f004009d012a20
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=59 tx_id=0x3B status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe003bbe0020003ea9449a4aa623a2a1b7e800c015096700c60c6d71a5d126eb54bc4dc4a1e76477c81599a86000fcd48c783ad75691b4593bfa4f456ff19806
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=60 tx_id=0x3C status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe003cbe256fffc9bd02b95cb13c28fe6d3cb6549bf054578da54ad1e7125d23641230341d6e007952494646720000005745425056503820660000003004009d
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=61 tx_id=0x3D status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe003dbe012a200020003ec152a04aa7a52321b0180c00f018096500bdd05c445103cce2bc5d3004bc0000feefc0e5eb4ec09b856e52d823ca29821385ae4ead
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=62 tx_id=0x3E status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe003ebe27074da6a82c12648108aeab57a7d8bbc6d96e79db56ae7f25daf66ba1f71253429f86ca000081524946467a00000057454250565038206e00000070
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=63 tx_id=0x3F status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe003fbe04009d012a200020003ec14e9f4aa7a422a1b00800f0180965000124f7e17ef72a492a84ee431903d092fc00fefdd8a054fd17b59e56d7c9dd4c4396
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=64 tx_id=0x40 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0040bede53c9d388cacc124bd06c93d112a12d55819a4c78981bba7795005557ca393290fe59da4631227039ac38611500c000004b52494646440000005745
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=65 tx_id=0x41 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0041be425056503820380000001003009d012a200020003ec15aa64ea7a523a2280800f018096700c67c198b890000feeccc99b3b2804fe5a33f77be46eb4e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=66 tx_id=0x42 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0042becf66734000004752494646400000005745425056503820340000001003009d012a200020003ec15aa74ea7a523a2280800f018096700c02819c9c2c0
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=67 tx_id=0x43 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0043be00feedd51764153a851f83db9d6c795f3c00005f524946465800000057454250565038204c0000001004009d012a200020003eb14a9c4aa724a2a1b7
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=68 tx_id=0x44 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0044befaa800e016096900ccd05b5f271d18820f4c01470000fef367499be7082db5dbfa973c2f1d7f71c685ef8f8069ee71c269e306c81d00000065524946
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=69 tx_id=0x45 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0045be465e0000005745425056503820520000009004009d012a200020003eb14c9b4aa724a2a1b7faa800e016096700cd8455ca87a3cbd7dbe319102ff7a9
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=70 tx_id=0x46 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0046be1a0000fec045308a744e233abf21cca162b6b284cef4d211515a2e6fe02609095f514eeb6c200071524946466a00000057454250565038205e000000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=71 tx_id=0x47 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0047be3004009d012a200020003ebd4a9f4aa72422a1b7f55800e017896500cab45582bbcb58d2bd9882e9820000fef3b4164de22bd8211affe8c24ec0d0dd
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=72 tx_id=0x48 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0048be8444a9628bc91bf903286f2d0c018081875571ada922a4bd2bdc98fa7d4b577e40007d524946467600000057454250565038206a0000009004009d01
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=73 tx_id=0x49 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0049be2a200020003ec14e9f4aa7a422a1b00800f018096500b8301e3f5c46a5cf93bd9ad6a2c582aa9e0000fe0b7f3ba549b2d2476360238866af131e8a74
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=74 tx_id=0x4A status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe004abeb9dacc3befced31fa0a1e6225e0e523b77b7b81989b4ee30809ff396e36a2027a181544c3a8900000067524946466000000057454250565038205400
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=75 tx_id=0x4B status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe004bbe0000f003009d012a200020003eb94e9d4aa724a2a1b00c00e017096700c73018f2ef7bf6d95a4eddd70000fef1e0f04b8dccf4f2fca5496bee30f3f6
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=76 tx_id=0x4C status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe004cbe18d2d49004287027fdcfc5d1b602946b5b6589292135000000007952494646720000005745425056503820660000005004009d012a200020003eb146
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=77 tx_id=0x4D status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe004dbe9d4aa723a2a1b7faa800e016096700c4d85b5eb3fbc97dd2756af94b587000fef08509855e1b35f546187540a2647fefcd0713f0909cc5169b2aaa13
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=78 tx_id=0x4E status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe004ebeb3805da42b4a1f00b41dfd453a0035f34f3ba196a3954171a1cfbec0007b5249464674000000574542505650382068000000b004009d012a20002000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=79 tx_id=0x4F status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe004fbe3ec152a24c27a4a32230180800f0180967000124ffdd02c6beaccf0eeef90ecb07bf724000fefd981aa6e72c68f9277ef75a97059551392df06bfdf2
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=80 tx_id=0x50 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0050be83bc00b85c99ef1d1867cd5bb9b13d1a033f4a281724525848814e699e189c1fa00055524946464e0000005745425056503820420000007003009d01
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=81 tx_id=0x51 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0051be2a200020003ec14ea04aa7a42321b00800f018096900cd841e96864f87fc2800fe434407f995722f3269adbc8291c67c72c0f381ee404091f2e40000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=82 tx_id=0x52 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0052be009952494646920000005745425056503820860000007005009d012a200020003ec158a24ba7a5a321b0180800f018096700c640696a54275dc0dd66
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=83 tx_id=0x53 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0053be536a0630fd328484d50ae9b5e80000fef687bf737e9b75f5797a2dc02876fd2b8d1353cf2f9a5c31f85f50ae142f66fd5f185a7934348005aa7a892e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=84 tx_id=0x54 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0054beaecbd6f74b85fc65ce679b4ab399e4d222e279ca830c68d0df6920185a4ba972100000006f524946466800000057454250565038205c000000100400
